OrderID,CustomerID,EmployeeID,OrderDate
283,196,3,2022-01-23
284,76,8,2022-08-28
285,174,1,2022-07-14
286,185,2,2022-06-29
287,114,5,2022-02-14
288,195,9,2022-04-28
289,107,4,2022-01-10
290,152,3,2022-07-16
291,48,7,2022-12-05
292,128,6,2022-01-28
293,164,9,2022-12-21
294,192,6,2022-10-05
295,131,1,2022-10-09
296,33,4,2022-12-11
297,153,9,2022-12-05
298,187,3,2022-11-30
299,2,8,2022-08-26
300,166,4,2022-06-27
,,,
